Software Key,CVSS Score,Attack from Where?,User Interaction,Privilege,Confidentiality Metric,Integrity Metric,Availability Metric,Exploitability,Mitigation Plan?
13,10,Network,Low,None,Complete,Complete,Complete,Functional,2
13,7.8,Network,Low,None,None,None,Complete,Proof-of-Concept,2
13,6.1,Adjacent,Low,None,None,None,Complete,Unproven,1
13,6.8,Local,Low,Single,Complete,Complete,Complete,Functional,1
13,10,Network,Low,None,Complete,Complete,Complete,Functional,2
13,7.8,Network,Low,None,None,None,Complete,Proof-of-Concept,2
13,10,Network,Low,None,Complete,Complete,Complete,Functional,2
13,6.1,Adjacent,Low,None,None,None,Complete,Unproven,1
13,6.8,Local,Low,Single,Complete,Complete,Complete,Functional,1
13,10,Network,Low,None,Complete,Complete,Complete,Functional,2
13,7.8,Network,Low,None,None,None,Complete,Proof-of-Concept,2
13,10,Network,Low,None,Complete,Complete,Complete,Functional,2
13,6.1,Adjacent,Low,None,None,None,Complete,Unproven,1
13,6.8,Local,Low,Single,Complete,Complete,Complete,Functional,1
13,10,Network,Low,None,Complete,Complete,Complete,Functional,2
13,7.8,Network,Low,None,None,None,Complete,Proof-of-Concept,2
13,10,Network,Low,None,Complete,Complete,Complete,Functional,2
13,10,Network,Low,None,Complete,Complete,Complete,Functional,2
13,6.8,Local,Low,Single,Complete,Complete,Complete,Proof-of-Concept,2
13,6.1,Adjacent,Low,None,None,None,Complete,Unproven,1
13,6.8,Local,Low,Single,Complete,Complete,Complete,Functional,2
13,7.8,Network,Low,None,None,None,Complete,Unproven,1
13,10,Network,Low,None,Complete,Complete,Complete,Functional,2
13,7.8,Network,Low,None,None,None,Complete,Proof-of-Concept,2
13,10,Network,Low,None,Complete,Complete,Complete,Functional,2
13,10,Network,Low,None,Complete,Complete,Complete,Functional,2
13,6.8,Local,Low,Single,Complete,Complete,Complete,Proof-of-Concept,2
13,6.1,Adjacent,Low,None,None,None,Complete,Unproven,1
13,6.8,Local,Low,Single,Complete,Complete,Complete,Functional,2
13,7.8,Network,Low,None,None,None,Complete,Unproven,1
13,10,Network,Low,None,Complete,Complete,Complete,Functional,2
13,7.8,Network,Low,None,None,None,Complete,Proof-of-Concept,2
13,5,Network,Low,None,None,Partial,None,Functional,2
13,10,Network,Low,None,Complete,Complete,Complete,Functional,0
13,7.8,Network,Low,None,None,None,Complete,Proof-of-Concept,0
13,5,Network,Low,None,None,Partial,None,Functional,0
13,7.8,Network,Low,None,None,None,Complete,Proof-of-Concept,2
13,5,Network,Low,None,None,Partial,None,Functional,2
13,7.8,Network,Low,None,None,None,Complete,Proof-of-Concept,0
13,5,Network,Low,None,None,Partial,None,Functional,0
13,7.8,Network,Low,None,None,None,Complete,Proof-of-Concept,0
13,5,Network,Low,None,None,Partial,None,Functional,0
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,2
13,5,Network,Low,None,None,Partial,None,Unproven,1
13,6.9,Local,Medium,None,Complete,Complete,Complete,Proof-of-Concept,1
13,6.8,Local,Low,Single,Complete,Complete,Complete,Functional,1
13,6.8,Local,Low,Single,Complete,Complete,Complete,Proof-of-Concept,1
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,2
13,6.8,Local,Low,Single,Complete,Complete,Complete,Proof-of-Concept,1
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,2
13,5,Network,Low,None,None,Partial,None,Functional,2
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,2
13,5,Network,Low,None,None,Partial,None,Unproven,1
13,6.9,Local,Medium,None,Complete,Complete,Complete,Proof-of-Concept,1
13,6.8,Local,Low,Single,Complete,Complete,Complete,Functional,1
13,6.8,Local,Low,Single,Complete,Complete,Complete,Proof-of-Concept,1
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,2
13,6.8,Local,Low,Single,Complete,Complete,Complete,Proof-of-Concept,1
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,2
13,5,Network,Low,None,None,Partial,None,Functional,2
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,2
13,5,Network,Low,None,None,Partial,None,Unproven,1
13,6.9,Local,Medium,None,Complete,Complete,Complete,Proof-of-Concept,1
13,6.8,Local,Low,Single,Complete,Complete,Complete,Functional,1
13,6.8,Local,Low,Single,Complete,Complete,Complete,Proof-of-Concept,1
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,2
13,6.8,Local,Low,Single,Complete,Complete,Complete,Proof-of-Concept,1
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,2
13,5,Network,Low,None,None,Partial,None,Functional,2
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,0
13,10,Network,Low,None,Complete,Complete,Complete,Functional,0
13,6.9,Local,Medium,None,Complete,Complete,Complete,Proof-of-Concept,1
13,6.8,Local,Low,Single,Complete,Complete,Complete,Functional,1
13,6.8,Local,Low,Single,Complete,Complete,Complete,Proof-of-Concept,1
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,0
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,0
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,2
13,10,Network,Low,None,Complete,Complete,Complete,Functional,2
13,6.9,Local,Medium,None,Complete,Complete,Complete,Proof-of-Concept,2
13,6.8,Local,Low,Single,Complete,Complete,Complete,Functional,2
13,6.8,Local,Low,Single,Complete,Complete,Complete,Proof-of-Concept,2
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,2
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,2
13,10,Network,Low,None,Complete,Complete,Complete,Functional,2
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,2
13,10,Network,Low,None,Complete,Complete,Complete,Functional,2
13,6.9,Local,Medium,None,Complete,Complete,Complete,Proof-of-Concept,2
13,6.8,Local,Low,Single,Complete,Complete,Complete,Functional,2
13,6.8,Local,Low,Single,Complete,Complete,Complete,Proof-of-Concept,2
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,2
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,2
13,10,Network,Low,None,Complete,Complete,Complete,Functional,2
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,0
13,10,Network,Low,None,Complete,Complete,Complete,Functional,0
13,6.9,Local,Medium,None,Complete,Complete,Complete,Proof-of-Concept,1
13,6.8,Local,Low,Single,Complete,Complete,Complete,Functional,1
13,6.8,Local,Low,Single,Complete,Complete,Complete,Proof-of-Concept,1
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,0
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,0
13,10,Network,Low,None,Complete,Complete,Complete,Proof-of-Concept,0
13,10,Network,Low,None,Complete,Complete,Complete,Functional,0
13,6.9,Local,Medium,None,Complete,Complete,Complete,Proof-of-Concept,1
13,6.8,Local,Low,Single,Complete,Complete,Complete,Functional,1
